task_id,fuzzing_duration,timestamp,offsets,execution_num,crash_num,time
2,86401,2025-05-30T20:16:56.465879+00:00,109898,848,0,11620000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"261323,260726",858,0,13111000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"493607,211482,483008,211397,483015,482928,493547,212691,212759,211371,522888,212731,482916,211344,493587,211428,212841,493555,211362,212785,211322,212800,482969,493568,482947,493565,493563,212720,493646,212726,212737,211462,212707,482490,212751,522880,211336,522893",972,0,13275000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"80705,80692,88988,80368,80656,80550,88981,80403,80444,80378,80382,80336,80493,80651,80633,80501,80366,80558,80386,80597,80399",983,0,13358000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"161049,161072",989,0,14046000.0
2,86401,2025-05-30T20:16:56.465879+00:00,262817,1039,0,15076000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"187796,187771",1119,0,15189000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"187265,187268",1128,0,18419000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"187735,187710",1370,0,18554000.0
2,86401,2025-05-30T20:16:56.465879+00:00,503245,1379,0,19661000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"189712,192142,189739,189723,188079",1461,0,22134000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"494584,494592",1644,0,30669000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"175068,175181",2283,0,32438000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"260287,260261,260250,260348,260255",2415,0,39353000.0
2,86401,2025-05-30T20:16:56.465879+00:00,350495,2941,0,41950000.0
2,86401,2025-05-30T20:16:56.465879+00:00,260796,3132,0,42008000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"348337,348275,151662,369792,151678,369878,348256,151694,369811,151648",3136,0,45506000.0
2,86401,2025-05-30T20:16:56.465879+00:00,584851,3395,0,51526000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"263182,263250,263212,263203,263241",3851,0,63782000.0
2,86401,2025-05-30T20:16:56.465879+00:00,374645,4755,0,66914000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"184667,185886,185848,184144,184671",4981,0,68168000.0
2,86401,2025-05-30T20:16:56.465879+00:00,"187649,187674",5074,0,72820000.0
2,86401,2025-05-30T20:16:56.465879+00:00,191343,5428,0,82156000.0
2,86401,2025-05-30T20:16:56.465879+00:00,186643,6119,0,
2,86404,2025-05-30T20:17:09.587792+00:00,,0,0,15000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"74851,107948,108022,108029,108069,75048,74986,107978,108066,108052,108036,108001,181332,107994,107651,108055,75006,183847,107971,183838,108013,187032,183808,107888,75013,108007,75477,183870",1,0,28000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"106926,106917",2,0,79000.0
2,86404,2025-05-30T20:17:09.587792+00:00,182082,6,0,90000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"183955,183932,183992,183968,183989,264286,110554,264148,264319",7,0,126000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"178708,263800,178764,178609,354445,354449,350463,264069,356304,178737,161818,178676,178622,178592,330912,178739,178652,178663",10,0,149000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"192799,107955,261109,191389,107783,185473,191428,191312",12,0,174000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"182497,185957,185596,182504,187056,184095,185986,185568,184018,185695,185970,185635,187077,182517,184073,187072,184048,182541,182522,182542,184080,182480,185504,185654",13,0,224000.0
2,86404,2025-05-30T20:17:09.587792+00:00,192790,17,0,236000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"439276,441143,439216,439683,438598,441055,441389,438697,441210,438985,374361,374347,441422,438997,439991,439629,374634,438720,441366,440227,438497,440248,440883,439610,441288,438627,438821,438873,439094,438794,439000,439632,439128,441276,441079,374373,438711,439883,441347,441192,439701,374471,187343,438838,441146,439989,440718,441453,438928,440886,438421,439743,439864,441291,439103,440893,438924,439807,441385,439324,374459,439694,374320,441098,441294,440871,438494,439860,441246,438482,374632,439904,439635,438406,441048,438500,439203,440026,440019,439800,374338,440740,441199,441340,441128,441140,438880,440730,439252,439182,439003,374356,441358,438591,441218,441066,440716",18,0,260000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"264249,191333,191323,191367,191359,192202,192173,192186,192016,110263,192158,192023",19,0,299000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"185426,185457,185470",22,0,311000.0
2,86404,2025-05-30T20:17:09.587792+00:00,184857,23,0,348000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"264904,181408",26,0,402000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"190064,329579",30,0,425000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"187588,187613",31,0,516000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"185757,185799,185748",37,0,568000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"169409,169387,169611,169593,169528,169039,162050,169024,162000,169048,162056",41,0,688000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"855649,855627,855644",47,0,715000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"100440,100459",50,0,778000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"263321,262936,263118,262950,181663,194176,263099,262913,263384,262976,263125",55,0,874000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"192781,192776",62,0,977000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"496801,496793,496806,374649,374647",69,0,999000.0
2,86404,2025-05-30T20:17:09.587792+00:00,110146,70,0,1048000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"186171,186226,185719,186198,186079,186193,185918,186251,185914,186316,186163,186220,186306,186218,186299,186868,186038,186186,186138,186179,185934,186357,186088,186320,186272,186016",74,0,1110000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"188069,188074",78,0,1377000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"740175,740967,752553,741443,740875,752521,740191,740085,752228,741502,751831,741528,752559,741463,740347,559690,752417,740511,752113,740975,740000,741326,740184,752307,741494,752494,741510,740487,752430,740444,740784,741488,752506,740210,752611,751821,740159,741506,559673,740532,752288,740205,559600,740319,740273,741520,740154,559634,752107,740048,741455,741336,740949,751867,740075,752196,579638,740257",96,0,1786000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"503362,499097,498979,182421,182440,495175,503253,503645,499071,499013,503186,499119,499046,496825,499091,182434,503531,499140,498996,498967,496839,503448,499007,503275,503616",128,0,4894000.0
2,86404,2025-05-30T20:17:09.587792+00:00,495634,348,0,5680000.0
2,86404,2025-05-30T20:17:09.587792+00:00,109898,403,0,5740000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"186506,186504,186475,186619,186482,186455,186550,186529,186407",407,0,5820000.0
2,86404,2025-05-30T20:17:09.587792+00:00,261218,413,0,6106000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"180330,152413,180286,377278",434,0,6382000.0
2,86404,2025-05-30T20:17:09.587792+00:00,504094,454,0,7031000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"262601,262841",501,0,9092000.0
2,86404,2025-05-30T20:17:09.587792+00:00,262800,648,0,9127000.0
